trades_count,buy_count,sell_count,total_volume,t0_profit,date,closing_price,symbol,stock_name
2,0,2,22722.78205888162,52717.61092604715,2023-12-19,6.56,SH600000,浦发银行
2,0,2,22283.69448286458,52717.61092604715,2023-12-20,6.53,SH600000,浦发银行
3,2,1,38035.96127247592,53032.17524139985,2023-12-21,6.57,SH600000,浦发银行
3,2,1,38035.9612724758,53338.888012262,2023-12-22,6.58,SH600000,浦发银行
2,2,0,25357.30751498393,53338.888012262,2023-12-25,6.58,SH600000,浦发银行
3,1,2,40341.17104656541,53338.888012262,2023-12-26,6.56,SH600000,浦发银行
4,2,2,52558.78284923911,54284.87694725507,2023-12-27,6.6,SH600000,浦发银行
2,1,1,26894.114031043508,54284.87694725507,2023-12-29,6.62,SH600000,浦发银行
2,2,0,23513.13969571221,54284.87694725507,2024-01-02,6.6,SH600000,浦发银行
2,2,0,25357.30751498393,54284.87694725507,2024-01-03,6.64,SH600000,浦发银行
6,2,4,79844.08399346162,55004.48841462588,2024-01-04,6.62,SH600000,浦发银行
4,2,2,48409.40525587833,56261.8493040822,2024-01-05,6.68,SH600000,浦发银行
3,2,1,38035.96127247572,56261.8493040822,2024-01-08,6.59,SH600000,浦发银行
3,2,1,41493.77593360989,56633.42606756768,2024-01-09,6.61,SH600000,浦发银行
3,1,2,47256.80036883364,56633.42606756768,2024-01-10,6.57,SH600000,浦发银行
3,1,2,40011.85536455241,56633.42606756768,2024-01-11,6.53,SH600000,浦发银行
2,2,0,29967.72706316282,56633.42606756768,2024-01-12,6.5,SH600000,浦发银行
2,2,0,24698.67615095821,56633.42606756768,2024-01-15,6.51,SH600000,浦发银行
5,3,2,67584.5592858042,57514.80793604499,2024-01-16,6.59,SH600000,浦发银行
5,2,3,64315.35269709543,57769.126054993816,2024-01-17,6.53,SH600000,浦发银行
5,2,3,59411.54281403238,58602.455616165695,2024-01-18,6.56,SH600000,浦发银行
3,1,2,35269.70954356845,59250.46760325651,2024-01-19,6.59,SH600000,浦发银行
5,2,3,64102.5641025641,60305.310671668034,2024-01-22,6.59,SH600000,浦发银行
4,2,2,47026.27939142457,61067.1649824103,2024-01-23,6.62,SH600000,浦发银行
3,1,2,39188.56615952049,61777.23413870353,2024-01-24,6.71,SH600000,浦发银行
2,1,1,27662.51728907316,62069.07369610324,2024-01-25,6.77,SH600000,浦发银行
6,3,3,75207.468879668,63500.837181580406,2024-01-26,6.87,SH600000,浦发银行
5,3,2,63393.26878745968,64334.77217466477,2024-01-29,6.9,SH600000,浦发银行
6,4,2,75007.97957229495,65567.50969993342,2024-01-30,6.83,SH600000,浦发银行
2,2,0,32602.25251926498,65567.50969993342,2024-01-31,6.83,SH600000,浦发银行
4,2,2,52558.78284923934,66306.57608997491,2024-02-01,6.8,SH600000,浦发银行
5,3,2,56708.16044260027,67304.69642192512,2024-02-02,6.84,SH600000,浦发银行
9,3,6,113185.79990779165,69570.27502957844,2024-02-05,6.89,SH600000,浦发银行
5,1,4,62471.184877823966,70612.20633432717,2024-02-06,7.0,SH600000,浦发银行
5,2,3,59596.45268895946,71388.58051055369,2024-02-07,6.94,SH600000,浦发银行
4,2,2,49792.53112033197,72463.7151348045,2024-02-08,6.96,SH600000,浦发银行
4,2,2,53788.22806208702,73543.35782728952,2024-02-19,7.12,SH600000,浦发银行
2,1,1,28430.92054710303,73543.35782728952,2024-02-20,7.1,SH600000,浦发银行
4,2,2,51716.88014913708,74656.89021047555,2024-02-21,7.24,SH600000,浦发银行
2,1,1,27662.51728907331,74656.89021047555,2024-02-22,7.21,SH600000,浦发银行
3,1,2,39099.90424513244,75727.68337996167,2024-02-23,7.28,SH600000,浦发银行
4,2,2,53869.112615563776,75727.68337996167,2024-02-26,7.1,SH600000,浦发银行
3,2,1,41109.57430459482,76043.73686082843,2024-02-27,7.14,SH600000,浦发银行
2,0,2,25933.609958506266,76043.73686082843,2024-02-28,7.1,SH600000,浦发银行
1,0,1,12102.351313969531,76043.73686082843,2024-02-29,7.15,SH600000,浦发银行
1,1,0,13337.285121517412,76043.73686082843,2024-03-01,7.11,SH600000,浦发银行
2,1,1,28650.464335111617,76043.73686082843,2024-03-04,7.07,SH600000,浦发银行
3,2,1,37048.01422643749,76350.12295053403,2024-03-05,7.16,SH600000,浦发银行
2,2,0,23820.50099892431,76350.12295053403,2024-03-06,7.12,SH600000,浦发银行
3,1,2,34962.3482403566,76350.12295053403,2024-03-07,7.14,SH600000,浦发银行
1,0,1,10373.443983402389,76350.12295053403,2024-03-08,7.12,SH600000,浦发银行
4,2,2,52810.26027914001,76546.46018176753,2024-03-11,7.11,SH600000,浦发银行
1,1,0,9385.496937364183,76546.46018176753,2024-03-12,7.1,SH600000,浦发银行
1,1,0,12678.653757492002,76546.46018176753,2024-03-15,7.09,SH600000,浦发银行
3,1,2,38035.9612724758,76546.46018176753,2024-03-18,7.09,SH600000,浦发银行
